VLFPWR,LFPWR,HFPWR,VLFP,LFP,HFP,VLFWFV,LFWFV,HFWFV,TP,LFHF,FREQRATIO,FREQRATIOV,NFBV,PR,SDNN,O2SD,BR,SDBB,MINVENT
62.275609,77.348671,86.529918,179.129734,92.441476,102.712369,117.072063,101.220539,95.657465,92.774203,87.788549,46.604102,50.286673,64.555899,94.102234,53.069224,93.955655,0.000000,0.000000,0.000000
59.638124,77.409273,83.480922,208.984690,92.441476,102.712369,122.003352,102.101521,96.259884,90.638272,91.066167,41.946621,45.582968,62.077840,94.605930,51.764793,95.950016,0.000000,0.000000,0.000000
58.323636,73.452944,78.937385,208.984690,92.441476,102.712369,120.152317,103.003275,96.683089,85.507103,91.385601,41.610869,48.120200,60.842807,95.690584,50.588589,95.608642,0.000000,0.000000,0.000000
58.638510,76.166816,82.034404,179.129734,92.441476,102.712369,114.506034,101.054434,96.251114,87.458475,91.184511,45.102511,50.640783,61.138649,97.904344,51.279535,90.532811,0.000000,0.000000,0.000000
45.180914,72.317167,80.682625,268.694601,103.316944,102.712369,122.625747,100.726030,96.937953,83.690732,88.026348,30.272306,32.417045,48.494511,95.417095,44.603069,76.040527,0.000000,0.000000,0.000000
42.756332,68.532540,80.263733,119.419823,103.316944,102.712369,121.841716,97.747829,96.658798,79.362997,83.854962,28.687934,32.570100,46.216486,94.829867,43.225152,74.146085,0.000000,0.000000,0.000000
46.826923,68.301005,83.582663,268.694601,103.316944,98.908207,123.323954,97.516148,97.302603,79.982746,80.253168,30.166942,36.089982,50.041026,97.475566,43.454532,76.555663,0.000000,0.000000,0.000000
35.592132,65.500675,84.575181,238.839645,81.566009,98.908207,117.370749,97.930980,96.796968,81.302389,76.059618,23.998861,25.694444,39.485333,94.043328,36.984996,69.415575,0.000000,0.000000,0.000000
27.729378,63.078739,81.832078,268.694601,81.566009,98.908207,133.240984,94.953859,98.025422,74.173385,75.702587,10.882216,11.434261,32.097851,95.508084,35.728799,63.527486,0.000000,0.000000,0.000000
28.745521,60.219959,82.879234,268.694601,81.566009,98.908207,128.350970,96.452252,97.049239,77.113404,71.358552,13.440718,13.755292,33.052573,95.629673,34.696973,78.523426,0.000000,0.000000,0.000000
29.667192,54.794464,80.585740,388.114424,103.316944,101.444315,131.033928,99.073151,98.041688,74.594399,66.777443,11.931127,14.734106,33.918532,94.175970,33.582264,77.247448,0.000000,0.000000,0.000000
23.305792,56.306440,76.591308,388.114424,103.316944,101.444315,146.190095,97.563154,97.484313,71.995299,72.198784,0.000000,0.000000,27.941654,96.257707,32.369236,74.677369,0.000000,0.000000,0.000000
25.553335,55.545622,79.111102,388.114424,76.128275,97.640153,136.325420,97.189464,96.982330,73.465403,68.954673,6.514647,7.512602,30.053342,96.784807,32.668401,76.263527,0.000000,0.000000,0.000000
27.088896,50.499885,82.801954,179.129734,76.128275,100.176261,133.092066,98.465803,96.342840,76.657524,59.896452,8.806631,9.326606,31.496085,95.858489,32.266061,76.283971,0.000000,0.000000,0.000000
27.190120,53.576191,84.632844,89.564867,76.128275,100.176261,113.012722,99.820914,97.308370,77.088450,62.170477,19.530846,20.896475,31.591190,95.736318,32.516740,75.259780,0.000000,0.000000,0.000000
31.720710,55.729010,84.623064,89.564867,81.566009,100.176261,111.607612,97.224854,97.132207,77.053517,64.676108,23.754001,27.017003,35.847923,96.878424,34.626786,76.529051,0.000000,0.000000,0.000000
31.652495,57.618839,83.448595,29.854956,81.566009,100.176261,120.111658,98.424641,96.810420,76.891371,67.810473,19.372110,22.075498,35.783832,96.011642,34.850883,78.355411,0.000000,0.000000,0.000000
31.647788,54.575564,79.785482,29.854956,81.566009,100.176261,122.560910,101.560840,95.568551,77.391194,67.177781,17.756777,20.351172,35.779409,96.180676,34.227391,74.302296,0.000000,0.000000,0.000000
32.226702,60.860100,83.708156,29.854956,103.316944,96.372099,127.631666,102.718940,96.090338,83.301444,71.402956,16.217991,14.625836,36.323331,96.180676,35.787613,70.734914,0.000000,0.000000,0.000000
35.910862,57.807203,81.560110,358.259468,97.879210,97.640153,131.019691,103.682160,94.886457,80.592308,69.607407,16.548842,18.524701,39.784797,96.443086,36.121799,69.553488,0.000000,0.000000,0.000000
36.064441,59.675879,82.639361,59.709911,97.879210,97.640153,122.052402,104.241206,95.151474,81.097967,70.919093,21.287443,23.635498,39.929094,95.326279,36.028679,63.361765,0.000000,0.000000,0.000000
36.543674,62.124509,86.490541,388.114424,108.754678,97.640153,136.268539,102.927247,94.961889,84.579341,70.541656,15.095291,13.879320,40.379358,96.196073,37.968602,79.939665,0.000000,0.000000,0.000000
37.951794,61.967347,86.970129,388.114424,108.754678,96.372099,131.639629,102.857685,96.313349,81.395339,69.975190,18.485286,20.074409,41.702363,95.160232,38.390022,79.298158,0.000000,0.000000,0.000000
39.336234,68.408818,82.978285,208.984690,108.754678,96.372099,138.448642,96.537336,96.571095,77.397466,80.965300,17.073223,20.049780,43.003119,96.134517,41.124402,84.510441,0.000000,0.000000,0.000000
37.187967,70.642896,79.963898,388.114424,108.754678,96.372099,132.839820,98.160717,96.451000,77.591831,86.761258,18.297625,20.701349,40.984706,94.131715,39.996518,83.745558,0.000000,0.000000,0.000000
49.037365,69.425748,79.546953,388.114424,108.754678,96.372099,136.026773,100.934101,96.302097,78.343249,85.713320,24.686998,32.218506,52.117855,94.531519,43.506791,84.011150,0.000000,0.000000,0.000000
43.505725,75.570491,79.656332,298.549557,108.754678,96.372099,126.441415,98.491617,96.112896,79.755019,93.171533,26.743467,30.534279,46.920581,94.919739,43.370957,86.253481,0.000000,0.000000,0.000000
43.418862,83.833903,80.921990,298.549557,92.441476,96.372099,125.272264,97.888594,96.700378,83.977884,101.742975,28.305753,28.653200,46.838969,95.145166,45.265057,88.329763,0.000000,0.000000,0.000000
45.015748,82.580540,89.733167,29.854956,108.754678,96.372099,119.608757,96.835301,96.960058,87.701240,90.380767,32.867265,31.645453,48.339329,94.770047,46.695034,87.388891,0.000000,0.000000,0.000000
